System,Dataset,DL_MAPE,LR_MAPE,MAPE_Improv,MAPE_p_value,DL_MAE,LR_MAE,MAE_Improv,MAE_p_value,DL_RMSE,LR_RMSE,RMSE_Improv,RMSE_p_value,DL_R2,LR_R2,R2_Improv,R2_p_value,LR_MAPE_std,DL_MAPE_std,LR_MAE_std,DL_MAE_std,LR_RMSE_std,DL_RMSE_std,LR_R2_std,DL_R2_std,MAPE_significant,MAE_significant,RMSE_significant,R2_significant
xz,uiq2-8.bin.csv,0.08021545343748814,0.8021275665720436,89.99966379658346,0.001953125,2.7256643710517885,11.856387158964647,77.01100398875802,0.001953125,8.666837050336353,16.586664643306932,47.74816253469257,0.001953125,0.8981575258444636,0.6303173808423838,42.492901694084104,0.001953125,0.0362949199012058,0.006364731188452744,0.3231601075748712,0.31293753687097403,0.7779317110082871,1.332256943115842,0.021638533515963766,0.025573684826288443,True,True,True,True
xz,vmlinux-5.10.tar.csv,0.04704919026007904,0.28279044080472626,83.36252451596565,0.001953125,0.3672687937688828,1.8608204196495355,80.26307160590737,0.001953125,0.6254101399701559,2.266109881023662,72.40159688604149,0.001953125,0.9807539211019589,0.7549279959168749,29.913571414292832,0.001953125,0.011878582279289427,0.007944449686851516,0.056232647535775435,0.062458035433593365,0.06103702872692722,0.11340238684961276,0.016089946887218768,0.006989403056270463,True,True,True,True
z3,AUFNIRA_z3.637557.smt2.csv,0.05075145430833439,7.566814788302179,99.32928906378424,0.001953125,2.8251847267213823,88.31539061043631,96.80102787612249,0.001953125,5.08422008893543,99.73709892099357,94.90237820837072,0.001953125,0.9990782749817558,0.6705531278424753,48.993157066662256,0.001953125,0.360752349759953,0.012340393831054175,2.5991656996669295,0.8943934339474134,2.6108074013255824,1.50228194362445,0.014298726817565855,0.00045882357068409527,True,True,True,True
z3,LRA_formula_277.smt2.csv,0.016824629831637086,0.10998796622676614,84.7032085337871,0.001953125,0.055291074466390575,0.31606348819817426,82.50633922266825,0.001953125,0.07093193777933944,0.3215196815562034,77.9385394275031,0.001953125,0.9959200511368792,0.919068860168178,8.361853425720286,0.001953125,0.0023544269977096095,0.0029087596938432384,0.0017840299640402577,0.010068453251574147,0.0027156565702309084,0.012818210665395336,0.0035210654083042713,0.001449911609400147,True,True,True,True
z3,QF_AUFBV_891_sqlite3.smt2.csv,0.6233241538810971,5.459661489504463,88.58309887747872,0.001953125,2.847861394924693,9.959695292544595,71.40613933182794,0.001953125,7.232977914039749,12.924532822749304,44.036832795159,0.001953125,0.9095494871240399,0.725153740310881,25.428503855486777,0.001953125,0.9621447110260043,0.30548163557224495,0.35624141640966867,0.8830188247129482,0.8164441176342877,2.459337752606558,0.012472411756096239,0.05080914450738419,True,True,True,True
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.032374825406100205,0.13042220878628746,75.17690759313066,0.001953125,0.2506578707018308,0.9598006732053189,73.88438269534214,0.001953125,0.33995823354337235,1.1699449283321015,70.94237298604952,0.001953125,0.9926557396119146,0.9161445644162789,8.351430349246762,0.001953125,0.003321263718248714,0.006587036159908762,0.027445670202286592,0.04884190565207525,0.028420688528910897,0.06982473891001977,0.00617725183444061,0.0028539867964516522,True,True,True,True
z3,QF_BV_bench_3176.smt2.csv,0.08491981825956725,10.199000892201417,99.1673712047177,0.001953125,7.039864076283898,131.85348366685983,94.66084332358578,0.001953125,16.411124201546357,151.55623106416317,89.17159387884323,0.001953125,0.9950341115120815,0.6096663106478016,63.20962699329849,0.001953125,0.6056749037789964,0.010462406451448998,3.946836226017048,1.9899119813049795,4.322480696334261,5.03408941369663,0.01661732331306941,0.0030833102991091673,True,True,True,True
z3,QF_BV_bench_935.smt2.csv,0.12502174528494214,17.538347873080504,99.28715209556974,0.001953125,4.609632066355287,92.8427283363181,95.03501011984791,0.001953125,9.286472016223073,96.74711537409635,90.4012931235059,0.001953125,0.9964680817041026,0.643739220399551,54.79375034592775,0.001953125,1.1947999704628156,0.046021106971297306,1.1789525502073857,1.4377780422723598,1.0721472537277625,2.803495088951134,0.015571288624916078,0.0023013503871660555,True,True,True,True
z3,QF_LIA_tightrhombus.csv,0.05144389551874853,0.6919619975863298,92.56550277353486,0.001953125,0.10457843374989606,0.5751385491648596,81.81682763192433,0.001953125,0.15040178595800074,0.7871321564845108,80.89243531483645,0.001953125,0.9962279259896064,0.9046122741321178,10.127615385871746,0.001953125,0.06257523336257076,0.010714349240685456,0.012700420742447205,0.034165337896099456,0.009613589026443053,0.044723469768797514,0.003166079386178354,0.002338138784482821,True,True,True,True
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.024759357446543666,0.054393390142554274,54.48094450142874,0.001953125,0.33806421643751294,0.7417639312368786,54.424284843050174,0.001953125,0.43288836920720986,0.8769561289471376,50.63739736594005,0.001953125,0.9857589779807541,0.9448530012110503,4.329348239067153,0.001953125,0.0018112908568762823,0.007368933770180618,0.018539673005454237,0.09122327743157577,0.019064672282891288,0.11239135017290446,0.002862448927476137,0.006241848534235583,True,True,True,True
z3,QF_NRA_hong_9.smt2.csv,0.019753044415622825,0.002185495335511884,-803.8245973193208,0.001953125,0.08634310238589546,0.009382136225525323,-820.2925678161421,0.001953125,0.1111349462799083,0.016058315728541113,-592.0710002132014,0.001953125,0.9914145335377738,0.999832041145965,-0.8418921640622236,0.001953125,9.20184565696541e-05,0.004942771237300139,0.0004363582173844063,0.022822153978666167,0.0016677778608762165,0.031105543707418186,3.505804565445069e-05,0.005310972567313215,True,True,True,True
z3,QF_RDL_orb08_888.smt2.csv,0.020852365943282172,0.02847188786022678,26.76156198124306,0.00390625,0.2055995786748704,0.2603920050070444,21.04228443215517,0.013671875,0.25225933297419995,0.3321816977956224,24.059833925767748,0.005859375,0.9892287152428919,0.9820819201552918,0.7277188329126342,0.009765625,0.0012603784413782555,0.0046456839845463475,0.008369618862172275,0.04436040038626143,0.008576513951986966,0.056030428955633406,0.001105160370082302,0.004579885999352603,True,True,True,True
