System,Dataset,Repeat,LR_MAPE,DL_MAPE,LR_MAE,DL_MAE,LR_RMSE,DL_RMSE,LR_R2,DL_R2
batlik,corona.csv,1,0.1215685281321805,0.04407517349313164,0.1799772915156287,0.06926868865059481,0.2583745551960554,0.10969223693234292,0.6844346372862737,0.9431223518926177
batlik,corona.csv,2,0.1232795025413095,0.04549092748204444,0.18421500350942932,0.07687687043514517,0.26759632465635597,0.1354280281079302,0.6927958826736345,0.9213164667405662
batlik,corona.csv,3,0.12460011573923044,0.0434654392863861,0.18293256137828498,0.06513054004973834,0.2591800518216639,0.09643651455673982,0.6842998332581665,0.9562926296822679
batlik,corona.csv,4,0.12178515162194253,0.03807630274007919,0.18346736644296943,0.06203757010400295,0.26787499708299456,0.10275076288647893,0.7065486534425331,0.9568240543736602
batlik,corona.csv,5,0.1215942917826142,0.04282311141934595,0.17805703035247822,0.06416590000192324,0.2521831357686102,0.09520006459679865,0.700145089831578,0.9572679655640561
batlik,corona.csv,6,0.12131066418530022,0.04093662221774689,0.17224079569438408,0.06127744181288613,0.24687245509419503,0.09168925145943578,0.6615080239236492,0.9533082705279777
batlik,corona.csv,7,0.12429759327842145,0.042343305806844485,0.18451213679487888,0.07085049007501867,0.26335493519805064,0.12329534878798622,0.7018316494368941,0.9346460250627351
batlik,corona.csv,8,0.11780102461793904,0.04281255213047734,0.1748453221970562,0.06660734744535551,0.2537231952414409,0.10418535301838096,0.6974250002967598,0.9489816941826182
batlik,corona.csv,9,0.12121181286834062,0.04169084987782444,0.1862920337498182,0.0688823766923613,0.26907328626527216,0.11341911859197201,0.6900754766409403,0.9449335205140502
batlik,corona.csv,10,0.11902227720017636,0.04060673999070512,0.17681470994820864,0.06451641230947441,0.2542031021108114,0.10419046909459677,0.7145178348560481,0.9520406513234718
batlik,cranium.csv,1,0.03304655790054498,0.021918027456418146,0.07016554911074109,0.04569889903896385,0.09740983791473497,0.06276023692238918,0.9715220748626275,0.9881785200108758
batlik,cranium.csv,2,0.034213182423129436,0.024507505684774635,0.0709570654640063,0.05208870587249598,0.09956355908750825,0.07312314109130116,0.9688750613960884,0.983211288925809
batlik,cranium.csv,3,0.0332964829571279,0.029088611492374787,0.0691887834117176,0.05649031734300985,0.09436423244002246,0.07234422016414117,0.9705524868722117,0.982692215477548
batlik,cranium.csv,4,0.034165753774438236,0.02078826370930413,0.07019854978864261,0.04129014814893406,0.09678478114034259,0.0546524844808771,0.9694503449603726,0.990258810652161
batlik,cranium.csv,5,0.03240791307461141,0.028874458588978667,0.06735966037490734,0.05454754241638714,0.09381124831135577,0.06971764725841134,0.9716377278113304,0.9843354964341267
batlik,cranium.csv,6,0.0320419688637657,0.021676428809993483,0.06591975454876797,0.04134544019069938,0.09319869658014752,0.05493997877589634,0.9705732140352131,0.9897741332844302
batlik,cranium.csv,7,0.033583471512545586,0.021713659540628198,0.06894948511606686,0.04474579464230274,0.09524551418696293,0.06131697668898745,0.9704849100267942,0.9877674636044471
batlik,cranium.csv,8,0.03235001289530445,0.0227596201628361,0.06804355629662212,0.044068148641122726,0.09387337163086834,0.05661985229448592,0.9718891910230584,0.9897735246725549
batlik,cranium.csv,9,0.03391405817898973,0.03189970850191919,0.07075893223183992,0.06268684998982482,0.09954559698306611,0.07889678397912286,0.9669456739754763,0.9792363931619177
batlik,cranium.csv,10,0.03321139083255102,0.02657445816611019,0.0677745440539588,0.05216610682507356,0.09317361682912428,0.0701177496672105,0.9718970669629444,0.9840844489842128
batlik,cubus.csv,1,0.03883773741857883,0.021194908037345528,0.2402606337272255,0.1285983027352227,0.3354833047165859,0.16784635039834128,0.8994040960544457,0.9748196201233675
