System,Dataset,Repeat,LR_MAPE,DL_MAPE,LR_MAE,DL_MAE,LR_RMSE,DL_RMSE,LR_R2,DL_R2
batlik,corona.csv,1,0.1215685281321805,0.04170613064510894,0.1799772915156287,0.0638061430139674,0.2583745551960554,0.09779927970649917,0.6844346372862737,0.9547872257281027
batlik,corona.csv,2,0.1232795025413095,0.04094415355662432,0.18421500350942932,0.06725986300243271,0.26759632465635597,0.11315567228801823,0.6927958826736345,0.9450687600931508
batlik,corona.csv,3,0.12460011573923044,0.04339958993562922,0.18293256137828498,0.07258089181449678,0.2591800518216639,0.12368798873777537,0.6842998332581665,0.9281003590251404
batlik,corona.csv,4,0.12178515162194253,0.043903781332296415,0.18346736644296943,0.06962259730531109,0.26787499708299456,0.11817378866904463,0.7065486534425331,0.9428897492954563
batlik,corona.csv,5,0.1215942917826142,0.041907889361976515,0.17805703035247822,0.06285194586548541,0.2521831357686102,0.0988937439875349,0.700145089831578,0.9538877066884394
batlik,corona.csv,6,0.12131066418530022,0.03786731374895988,0.17224079569438408,0.05741690944466325,0.24687245509419503,0.090870925401983,0.6615080239236492,0.9541379981235323
batlik,corona.csv,7,0.12429759327842145,0.039236256683049156,0.18451213679487888,0.06129596287177668,0.26335493519805064,0.10010177458142598,0.7018316494368941,0.9569213412178279
batlik,corona.csv,8,0.11780102461793904,0.0391273751370902,0.1748453221970562,0.05839826923277643,0.2537231952414409,0.08870894349903986,0.6974250002967598,0.9630131359164276
batlik,corona.csv,9,0.12121181286834062,0.03695869554056077,0.1862920337498182,0.061863054591748456,0.26907328626527216,0.10286745565284668,0.6900754766409403,0.9547028610367335
batlik,corona.csv,10,0.11902227720017636,0.03769903394924741,0.17681470994820864,0.06279911311964194,0.2542031021108114,0.11019216854994206,0.7145178348560481,0.9463562969700994
batlik,cranium.csv,1,0.03304655790054498,0.0217528446765459,0.07016554911074109,0.04270400499304136,0.09740983791473497,0.05755349433005828,0.9715220748626275,0.9900586332435041
batlik,cranium.csv,2,0.034213182423129436,0.02109101904118281,0.0709570654640063,0.04240860303243002,0.09956355908750825,0.058040016735443574,0.9688750613960884,0.9894229943673711
batlik,cranium.csv,3,0.0332964829571279,0.020602364856455616,0.0691887834117176,0.04026062935590745,0.09436423244002246,0.05251132824804378,0.9705524868722117,0.9908811555393348
batlik,cranium.csv,4,0.034165753774438236,0.02357592411165056,0.07019854978864261,0.04571344670322207,0.09678478114034259,0.062019970056751965,0.9694503449603726,0.9874554446970689
batlik,cranium.csv,5,0.03240791307461141,0.021701417562768676,0.06735966037490734,0.04297424943082863,0.09381124831135577,0.056549994072297084,0.9716377278113304,0.9896938533465602
batlik,cranium.csv,6,0.0320419688637657,0.024520039782424355,0.06591975454876797,0.04780957601964475,0.09319869658014752,0.06519741471406529,0.9705732140352131,0.9855992900560018
batlik,cranium.csv,7,0.033583471512545586,0.022468866958060378,0.06894948511606686,0.044336674983302765,0.09524551418696293,0.05886460577109391,0.9704849100267942,0.9887263764258356
batlik,cranium.csv,8,0.03235001289530445,0.02134658807984154,0.06804355629662212,0.04271550652881464,0.09387337163086834,0.055853956587006134,0.9718891910230584,0.9900483201297363
batlik,cranium.csv,9,0.03391405817898973,0.02452634507381522,0.07075893223183992,0.05014848723179764,0.09954559698306611,0.06789345683209352,0.9669456739754763,0.9846241179569593
batlik,cranium.csv,10,0.03321139083255102,0.03041135002477778,0.0677745440539588,0.05979146561688848,0.09317361682912428,0.07774597771259324,0.9718970669629444,0.9804331192191411
batlik,cubus.csv,1,0.03883773741857883,0.022146284305883925,0.2402606337272255,0.1377712028887537,0.3354833047165859,0.17804301730241562,0.8994040960544457,0.9716672738470232
batlik,cubus.csv,2,0.03980190683896666,0.035050992565571794,0.24712501441401993,0.21248641759157183,0.34178608896172347,0.3095630386866046,0.9000423281412692,0.9180015639135668
batlik,cubus.csv,3,0.04030314256242855,0.022980994489425206,0.2487647377270942,0.13973920196294784,0.3365070632377494,0.1806014265264637,0.8979574375248094,0.9706075803338468
batlik,cubus.csv,4,0.039863493880302046,0.028749458013805216,0.24351075491061014,0.1786566930678156,0.32972156634346517,0.22778473307918007,0.9088416752250719,0.9564938299993331
batlik,cubus.csv,5,0.038914872207789726,0.02195795427529061,0.23643832889852975,0.1359562701980273,0.3263745535608659,0.18639704800634962,0.9131541854874105,0.9716734051250834
batlik,cubus.csv,6,0.0388164190152621,0.0266223549429725,0.23729912751020374,0.1609459208448728,0.3265187614971273,0.21671787493377057,0.9034099749618892,0.9574494219285394
batlik,cubus.csv,7,0.038964022030995464,0.034824833893945605,0.24078661548770214,0.21529063721497854,0.32669469373243565,0.27607424329358543,0.9137920058468693,0.938437654208392
batlik,cubus.csv,8,0.03924898613565507,0.024829839916710658,0.24129598966523502,0.1476665618022283,0.3391019691316088,0.18954490418057396,0.9038613416928971,0.9699626469057183
batlik,cubus.csv,9,0.039457952372092625,0.024715919903100785,0.24372968650079685,0.15320050895214077,0.33475122254837536,0.20318795070224327,0.8984336639687567,0.9625802102929192
batlik,cubus.csv,10,0.03839852134531988,0.027196610067013304,0.2337884469399788,0.16221630209022095,0.31131537131709386,0.19972161606634725,0.9168991532273212,0.9657977668738059
batlik,flame.csv,1,0.031860240084061124,0.026482890360397818,0.05779722323369153,0.04660867259734208,0.07666953712227045,0.06157290762663436,0.9567041689731277,0.9720758654158294
batlik,flame.csv,2,0.03221665998982144,0.0240782263726272,0.058179519155152674,0.04329498260385461,0.07776199507479971,0.056135537808785434,0.9560449723297685,0.9770939848010448
batlik,flame.csv,3,0.0323334358272104,0.02493356875372468,0.05801792373026306,0.044007744308975014,0.07649246150880397,0.05648895213146693,0.9561792600225987,0.9761015644979139
batlik,flame.csv,4,0.032753110831662866,0.02371656043126806,0.058716063808510306,0.042062525931331855,0.07747593126919862,0.05325474807894893,0.9561197152242895,0.9792674607525378
batlik,flame.csv,5,0.032777235607149145,0.024483086423353714,0.05829447897785198,0.04254632690714467,0.07585982010106461,0.05482640478426765,0.9588796256750396,0.9785210533711269
batlik,flame.csv,6,0.030289630294691783,0.02167949760822896,0.054310818176406844,0.03740983652571839,0.07310327989840061,0.04826695542700875,0.9588527472160385,0.9820622928333942
batlik,flame.csv,7,0.03218524618476256,0.027503216629498867,0.05773286928333299,0.048524093164338006,0.07724518227826273,0.0641680771626528,0.9580557939128702,0.9710554218049995
batlik,flame.csv,8,0.03125220625959076,0.025301488752264907,0.05659236481896151,0.044898142806357816,0.0757496797143925,0.056810274440647165,0.9588717332264713,0.9768669668255014
batlik,flame.csv,9,0.032352175564891485,0.02288069420654494,0.05785118268455394,0.03959779913226765,0.07748370563792861,0.05008353346140212,0.953709826600562,0.9806599334047461
batlik,flame.csv,10,0.031648836235219774,0.02260941670521124,0.05618127739568614,0.03821258241103756,0.07339633354983957,0.04872688202903188,0.959901264189862,0.9823266371419554
batlik,france.csv,1,0.038570747328551765,0.023414416851407757,0.14451663700064835,0.08321875999371212,0.18958221004934625,0.10688089570056719,0.9681201924215875,0.9898674046951332
batlik,france.csv,2,0.041091193127125246,0.031704809320062304,0.15022921284982335,0.11167081203725607,0.1981294711249692,0.14034075095163714,0.9634988421659266,0.9816863009834875
batlik,france.csv,3,0.04118074408667167,0.024600259063142473,0.15113090585754155,0.08633994587593609,0.19681393958005655,0.11337255496268751,0.9627548320901574,0.9876412628584338
batlik,france.csv,4,0.04032115681659614,0.024754841109977083,0.14634516083322244,0.08732806978954209,0.1887936116088118,0.11566897341842329,0.9662507582696891,0.9873315584256697
batlik,france.csv,5,0.0388608560471911,0.03085385522419882,0.1426906422220419,0.10556169594327608,0.190345767508986,0.13457309810153023,0.9656211563212918,0.9828161165688237
batlik,france.csv,6,0.03805994043509827,0.024702317345002403,0.13862045209865015,0.0867413022617499,0.18576663891252332,0.11327742008868892,0.9655370487445424,0.9871854394491678
batlik,france.csv,7,0.038589837183532115,0.022148917254443012,0.14102055493338503,0.07808608030279478,0.18620665727206023,0.10452199436684952,0.9663523323189561,0.98939819201895
batlik,france.csv,8,0.038587011369626376,0.02768838887718778,0.1422293114861747,0.09933620802230306,0.1899158339492811,0.13252824604971147,0.9661806704299319,0.9835312914133387
batlik,france.csv,9,0.03867038774561989,0.024638744870642968,0.14332759850322288,0.08648567030827203,0.19267366899865,0.11657508114232563,0.9634343559850227,0.986614335221289
batlik,france.csv,10,0.039096709096053735,0.029153031676184795,0.14243967751523426,0.11055063418216175,0.18849653108478923,0.15620585217942531,0.9660828534236715,0.9767079783719343
batlik,frisco.csv,1,0.04977003106423758,0.036931802595477646,0.2433259184989083,0.17164175262053807,0.3260547802989019,0.21888538563157536,0.87174282875522,0.94219917391231
