System,Dataset,DL_MAPE,LR_MAPE,MAPE_Improv,MAPE_p_value,DL_MAE,LR_MAE,MAE_Improv,MAE_p_value,DL_RMSE,LR_RMSE,RMSE_Improv,RMSE_p_value,DL_R2,LR_R2,R2_Improv,R2_p_value,LR_MAPE_std,DL_MAPE_std,LR_MAE_std,DL_MAE_std,LR_RMSE_std,DL_RMSE_std,LR_R2_std,DL_R2_std,MAPE_significant,MAE_significant,RMSE_significant,R2_significant
batlik,jelly.csv,0.05550068435017404,0.16985035480234448,67.3237748518333,0.001953125,0.16950881163196432,0.32259841474643136,47.455162863958414,0.001953125,0.5164441799732755,0.4411466381170321,-17.06859700385333,0.083984375,0.4102243649535306,0.5796205845078964,-29.225362949831208,0.083984375,0.0033666859047223733,0.009238869766939299,0.0075775992444047195,0.03619922462703537,0.018403601582468412,0.11829220390230902,0.015696130087867965,0.18049649310852278,True,True,False,False
batlik,karte.csv,0.02767908116762708,0.15015427887050375,81.56623882060791,0.001953125,0.3258376351926061,1.4892231182313318,78.12029431965941,0.001953125,0.4186707720834204,1.8713266454379105,77.62706082852537,0.001953125,0.9892558350756369,0.7929730922950237,24.75276206567507,0.001953125,0.001961619518034468,0.006238526577040168,0.01199803940326039,0.06614498442296442,0.040020673898845574,0.07956975207505852,0.012874653358338036,0.0044288008072077825,True,True,True,True
batlik,mandelbrot.csv,0.02182059698052527,0.04649038481813071,53.064279708832416,0.001953125,0.028256547691093543,0.06139973193561042,53.97936310092357,0.001953125,0.03698230252305916,0.08400000098968306,55.97344989602875,0.001953125,0.9427948151521012,0.7059452046017425,33.55070747792343,0.001953125,0.0008931930650807373,0.0012485829650471809,0.0012870484773220866,0.0016210836073733302,0.0014648442951616346,0.0023956729492380924,0.009782495640581881,0.007245065669775096,True,True,True,True
batlik,strawberry.csv,0.02608741215034575,0.054538477488202994,52.16695927019852,0.001953125,0.041324020988411383,0.09352076208880514,55.81299802799826,0.001953125,0.05346897516662643,0.13043318610544669,59.00661728572645,0.001953125,0.9717998026585078,0.8331472412346708,16.642023709802228,0.001953125,0.0017411442762729269,0.0015671729926498945,0.0031126514860018864,0.0023497317102302425,0.004500065752922115,0.0037439969631767474,0.008255636119402813,0.004110736937719514,True,True,True,True
batlik,village.csv,0.07823697050772346,0.5738895631242698,86.3672428399291,0.001953125,0.8956858985573055,1.8009266622935847,50.26527635408554,0.001953125,3.124129206400439,2.4540664429587453,-27.304181814809887,0.001953125,0.2740062810072329,0.549892218081673,-50.17091131729091,0.001953125,0.01787190857791933,0.008907949907136337,0.03994434246262389,0.11242054890471176,0.0843736804866292,0.25631371827107324,0.029029155889547728,0.055843076951796584,True,True,True,True
dconvert,jpeg-large.csv,0.045445319429707975,0.13408651880562023,66.1074656613405,0.001953125,0.17354392721736414,0.41538126317558965,58.2205692450784,0.001953125,0.39364888162479394,0.5635303142189584,30.14592619203044,0.001953125,0.8852927338665604,0.7930386312359488,11.632989743114258,0.001953125,0.0026756953382236666,0.00712824339349829,0.008215051739249654,0.04323173740457243,0.014756138886197916,0.15273302095511687,0.00440854465290463,0.06419878426171491,True,True,True,True
dconvert,jpeg-medium.csv,0.03033882215305156,0.10160314640366261,70.1398792981101,0.001953125,0.0517644349002321,0.1768300865363514,70.72645503140058,0.001953125,0.0723900326790639,0.24031871743551134,69.87748875678422,0.001953125,0.9809680162828067,0.792342255033492,23.806096425002803,0.001953125,0.0019042788060022317,0.0019682517418794132,0.003199745962290383,0.004156893205498531,0.0060570225732738065,0.007371357959808347,0.004171495990746622,0.003896638577674929,True,True,True,True
dconvert,jpeg-small.csv,0.03156207655551415,0.03509889265516662,10.076717047458892,0.001953125,0.013622290042364402,0.015073764407628105,9.629143231993073,0.001953125,0.01786213181328936,0.019263052230674767,7.272577578098248,0.001953125,0.51215254351437,0.43256024316567443,18.400281025875746,0.001953125,0.00039173037935454286,0.0007699361955996136,0.00018726173371894054,0.00035633973111973144,0.0001883017616299729,0.0005102299040657289,0.010353459684904724,0.019162022918293796,True,True,True,True
dconvert,png-large.csv,0.0392360312250679,0.09184841850652212,57.28175632955317,0.001953125,0.09846184212424709,0.21724313360635747,54.67666089614642,0.001953125,0.1544059374765539,0.2786744247765209,44.592713306799645,0.001953125,0.9438044847918233,0.8194258286615088,15.178757097940254,0.001953125,0.0012449897664665497,0.0017046033486011122,0.0032081599526783294,0.007459120918312849,0.00596227470132624,0.023014643249706947,0.00386456872970956,0.016780463718737815,True,True,True,True
dconvert,png-medium.csv,0.03032117714117031,0.03566073769112528,14.973219556486633,0.001953125,0.019226950947435806,0.023186582774409464,17.07725483094395,0.001953125,0.02440987680664312,0.02921796194527119,16.45592237964509,0.001953125,0.9110384314202639,0.8731494852563177,4.339342438348184,0.001953125,0.00040358558109510685,0.0016810199081673664,0.00031976520529721034,0.0010722924014178068,0.00040311516281219033,0.001384693891386488,0.0027769833919613555,0.011467472654417341,True,True,True,True
dconvert,png-small.csv,0.03322721274398483,0.03329122739843408,0.1922868558828113,0.556640625,0.014942735364955304,0.014961332120768913,0.12429879681497948,0.625,0.02002699511294289,0.019786581959247575,-1.2150312478955179,0.275390625,0.6278006451187801,0.6368468237786498,-1.4204638104647083,0.275390625,0.00039448177489065036,0.0009429433268167894,0.00017005568813550497,0.0004402434330640472,0.00028203944677902034,0.0005738421768405525,0.010075301959786034,0.02019221882248243,False,False,False,False
dconvert,psd-large.csv,0.020322063456969585,0.014248909448674397,-42.6218864690742,0.001953125,0.713973694058226,0.5336132766813213,-33.799836934083174,0.00390625,1.1000353665235179,0.8694241921273782,-26.524586787936205,0.001953125,0.9930854099938908,0.9957921478097665,-0.27181754965924904,0.001953125,0.00021731736056664235,0.005109133638943235,0.009531011362039068,0.19617486988155358,0.02371825232097803,0.18743414670738703,0.00020592189302873803,0.0025006028702470227,True,True,True,True
dconvert,psd-medium.csv,0.02928727524190816,0.051696205687402096,43.3473407719646,0.001953125,0.039115504167301994,0.06709568374956587,41.70190691654575,0.001953125,0.05951364814447334,0.08931846044711919,33.369151408841994,0.001953125,0.8893361744006295,0.7701492737747266,15.475818089359878,0.001953125,0.0005452337116062125,0.004124110443327392,0.0008114319743595203,0.006646020625552339,0.002150337536718146,0.018721823848011365,0.0052407693299833845,0.06794416038726238,True,True,True,True
