System,Dataset,LR_Time,DL_Time
batlik,corona.csv,0.011210799217224121,9.969898867607117
batlik,cranium.csv,0.002795910835266113,7.787661933898926
batlik,cubus.csv,0.0033720254898071287,5.740441250801086
batlik,flame.csv,0.003270459175109863,7.942156744003296
batlik,france.csv,0.003067469596862793,6.9839550971984865
batlik,frisco.csv,0.003224802017211914,6.271561956405639
batlik,jelly.csv,0.003357076644897461,8.303725910186767
batlik,karte.csv,0.003136444091796875,5.9938058137893675
batlik,mandelbrot.csv,0.0031844377517700195,8.97315046787262
batlik,strawberry.csv,0.004215526580810547,8.32582392692566
batlik,village.csv,0.003459262847900391,6.101232790946961
dconvert,jpeg-large.csv,0.004364132881164551,10.522833228111267
dconvert,jpeg-medium.csv,0.004290318489074707,9.658304619789124
dconvert,jpeg-small.csv,0.005417084693908692,17.86357855796814
dconvert,png-large.csv,0.004932332038879395,15.646583127975465
dconvert,png-medium.csv,0.00441131591796875,12.56217634677887
dconvert,png-small.csv,0.004264616966247558,10.87249002456665
dconvert,psd-large.csv,0.004008054733276367,9.039254188537598
dconvert,psd-medium.csv,0.004128265380859375,13.695058441162109
dconvert,psd-small.csv,0.005251502990722657,15.796392273902892
dconvert,svg-large.csv,0.004987931251525879,17.216133213043214
dconvert,svg-medium.csv,0.00479278564453125,17.536469197273256
dconvert,svg-small.csv,0.0048686742782592775,14.396709108352661
h2,smallbank-1.csv,0.0035062313079833986,7.174086928367615
h2,smallbank-10.csv,0.007417702674865722,7.77662935256958
h2,tpcc-2.csv,0.004467678070068359,9.612727546691895
h2,tpcc-8.csv,0.006136751174926758,6.745865654945374
h2,voter-16.csv,0.004414916038513184,9.281669068336488
h2,voter-2.csv,0.004667592048645019,9.602073478698731
h2,ycsb-2400.csv,0.004494714736938477,8.680350184440613
h2,ycsb-600.csv,0.004491686820983887,6.955692410469055
jump3r,beethoven.wav.csv,0.005943012237548828,16.50591814517975
jump3r,dual-channel.wav.csv,0.004831838607788086,12.208374786376954
jump3r,helix.wav.csv,0.004754853248596191,12.831090569496155
jump3r,single-channel.wav.csv,0.004008197784423828,15.841674542427063
jump3r,speech.wav.csv,0.004358768463134766,12.579431653022766
jump3r,sweep.wav.csv,0.004364418983459473,12.94348304271698
kanzi,ambivert.csv,0.008546829223632812,13.86224410533905
kanzi,artificl.csv,0.005610847473144531,14.916127371788026
kanzi,deepfield.csv,0.005134129524230957,12.405182576179504
kanzi,enwik8.csv,0.004157638549804688,10.913864994049073
kanzi,fannie_mae_500k.csv,0.00566706657409668,10.3750084400177
kanzi,large.csv,0.004507255554199219,12.49203600883484
kanzi,misc.csv,0.004827380180358887,10.620373320579528
kanzi,silesia.csv,0.004428434371948242,10.037270832061768
kanzi,vmlinux.csv,0.004832792282104492,8.870028042793274
lrzip,ambivert.wav.tar.csv,0.0035151243209838867,4.592414855957031
lrzip,artificl.tar.csv,0.005167913436889648,4.188277316093445
lrzip,deepfield.tar.csv,0.0045165538787841795,4.533589005470276
lrzip,enwik8.tar.csv,0.0033377408981323242,4.349405312538147
lrzip,fannie_mae_500k.tar.csv,0.0038631200790405274,4.8782495021820065
lrzip,large.tar.csv,0.0027642250061035156,4.226890110969544
lrzip,misc.tar.csv,0.0042628288269042965,4.505252170562744
lrzip,silesia.tar.csv,0.0036026716232299806,5.6422483921051025
lrzip,uiq-32.bin.csv,0.003919386863708496,5.728843450546265
lrzip,uiq2-16.bin.csv,0.0038800477981567384,4.621894836425781
lrzip,uiq2-4.bin.csv,0.00461881160736084,5.779489254951477
lrzip,uiq2-8.bin.csv,0.0038824081420898438,4.734848403930664
lrzip,vmlinux-5.10.tar.csv,0.005194830894470215,4.3606569290161135
x264,blue_sky_1080p25_short.y4m.csv,0.009236454963684082,11.199430131912232
x264,Johnny_1280x720_60_short.y4m.csv,0.005516242980957031,9.047418427467345
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.007598209381103516,10.858621716499329
x264,pedestrian_area_1080p25_short.y4m.csv,0.005284690856933593,10.25215015411377
x264,riverbed_1080p25_short.y4m.csv,0.005481696128845215,8.13016381263733
x264,sd_bridge_close_cif_short.y4m.csv,0.004921770095825196,10.596891784667969
x264,sd_city_4cif_short.y4m.csv,0.005171465873718262,11.582251048088073
x264,sd_crew_cif_short.y4m.csv,0.007125592231750489,9.937297463417053
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.004987192153930664,10.155750560760499
xz,ambivert.wav.tar.csv,0.006569957733154297,8.806524634361267
xz,artificl.tar.csv,0.006971549987792969,14.447796249389649
xz,deepfield.tar.csv,0.0048684835433959964,8.854666900634765
xz,enwik8.tar.csv,0.0063791036605834964,10.266197395324706
xz,fannie_mae_500k.tar.csv,0.005359673500061035,10.353208971023559
xz,large.tar.csv,0.005308794975280762,10.149228191375732
xz,misc.tar.csv,0.006502914428710938,11.381478714942933
xz,silesia.tar.csv,0.006019186973571777,9.389708924293519
xz,uiq-32.bin.csv,0.0059151887893676754,11.064229249954224
xz,uiq2-16.bin.csv,0.006120038032531738,10.153571724891663
xz,uiq2-4.bin.csv,0.005371713638305664,8.891691088676453
xz,uiq2-8.bin.csv,0.006081867218017578,11.320852661132813
xz,vmlinux-5.10.tar.csv,0.005714273452758789,9.910349869728089
z3,AUFNIRA_z3.637557.smt2.csv,0.0051239728927612305,7.04962739944458
z3,LRA_formula_277.smt2.csv,0.0093031644821167,6.276697778701783
z3,QF_AUFBV_891_sqlite3.smt2.csv,0.011921525001525879,10.118650984764098
